name,sector,subsector,sourceType,emissionsQuantity,activity,capacity,year,emissions_mt
Bandarawela Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,48.466475,1240383.396,89037.78840000002,2025,4.8466475000000006e-05
Ganga Ihala Korale Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,48.219985,276676.72307000007,19860.54,2025,4.8219985e-05
Walallawita Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,47.60199,398399.5374,28598.1054,2025,4.760199e-05
Imbulpe Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,47.59694,433310.1889,31104.078479999996,2025,4.7596939999999994e-05
Nikaweratiya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,47.091215000000005,603204.5409,43299.51551999999,2025,4.709121500000001e-05
Valikamam East Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,46.99562,547668.6833999999,39313.013880000006,2025,4.699562e-05
Mihinthale Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,46.315875,730051.9204,52404.9354,2025,4.6315875e-05
Devinuwara Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,45.675695,485890.97378000006,34878.45588,2025,4.5675695e-05
Lunugamvehera Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,43.89742,404398.62528,29028.73452,2025,4.389742e-05
Sooriyawewa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,42.917815,315866.8578,22673.705279999995,2025,4.2917815e-05
Hali-Ela Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,41.71229,589732.0324,42332.42423999999,2025,4.171229e-05
Valikamam West Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,41.672915,334233.7732,23992.12728,2025,4.1672915000000007e-05
Panduwasnuwara Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,41.435030000000005,467212.3593400001,33537.659640000005,2025,4.143503000000001e-05
Angunakolapelessa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,41.023695,295994.8103,21247.240320000008,2025,4.1023695e-05
Akurana Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,40.518835,709994.8163,50965.18488000001,2025,4.0518835000000005e-05
Pasbage Korale Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,37.898185,333678.3484,23952.25824,2025,3.7898184999999995e-05
Dickwella Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,37.63284,492990.3137600001,35388.06564,2025,3.763284e-05
Kiriella Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,36.72157,187250.1534,13441.279440000004,2025,3.672157e-05
Moneragala Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,36.37152,305639.9767,21939.594839999994,2025,3.637152e-05
Lahugala Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,35.891785,199875.8625,14347.58388,2025,3.5891785e-05
Wariyapola Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,34.846185000000006,377512.52558,27098.783280000007,2025,3.4846185000000004e-05
Walapane Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,34.31547,237990.13739,17083.52148,2025,3.431547e-05
Mahakumbukkadawala Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,34.03471999999999,453589.74491000007,32559.79476,2025,3.4034719999999996e-05
Udubaddawa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,33.806055,340425.30285999994,24436.57104,2025,3.3806055e-05
Poojapitiya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,33.32354,154436.1224,11085.807479999996,2025,3.332354e-05
Rattota Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,33.122930000000004,346141.25685000006,24846.876839999997,2025,3.312293e-05
Bulathkohupitiya Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,32.3811,118291.4112,8491.25064,2025,3.23811e-05
Anamaduwa Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,32.174525,465485.81323,33413.72484,2025,3.2174525000000003e-05
Palindanuwara Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,32.00369,160173.43605999998,11497.64592,2025,3.200369e-05
Muttur Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,31.447195000000008,498443.8876000001,35779.53516,2025,3.1447195000000006e-05
Mannar Town Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,30.95609,732410.3397499999,52574.22708,2025,3.095609e-05
Godakawela Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,30.432215,117076.4525,8404.037760000001,2025,3.0432215e-05
Thirappane Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,29.54739,343646.2148,24667.775399999995,2025,2.954739e-05
Pathadumbara Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,28.781659999999995,504292.9523,36199.39656,2025,2.8781659999999996e-05
Panvila Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,27.56974,146182.0153,10493.306880000002,2025,2.756974e-05
Dimbulagala Division,buildings,non-residential-onsite-fuel-usage,gadm-aggregation,26.681135,288600.7852,20716.478520000004,2025,2.6681135e-05
