id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1320255,Trincomalee Town and Gravets Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 81.17744447800972, 'latitude': 8.588564953000144, 'srid': 4326}",co2e_20yr,17640.658240000004,4.6000056496526614e-05,t of CO2e_20yr per MJ,383492099.43540007,MJ,44904206.15879998,m^2,8.540226678971058,2024
1320226,Puttalam Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 79.85340061961676, 'latitude': 7.938766890000153, 'srid': 4326}",co2e_20yr,17303.58732,8.10470443238428e-05,t of CO2e_20yr per MJ,213500534.95916998,MJ,24999399.272279993,m^2,8.540226612401248,2024
1320240,Kuruvita Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.34809938999877, 'latitude': 6.788146973000094, 'srid': 4326}",co2e_20yr,17159.10966,0.000195308,t of CO2e_20yr per MJ,87856846.96248001,MJ,10287414.04,m^2,8.54022659,2024
1319987,Mahiyanganaya Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 81.08320528173326, 'latitude': 7.429511547000061, 'srid': 4326}",co2e_20yr,16142.567640000001,0.000107599,t of CO2e_20yr per MJ,150024997.33393002,MJ,17566863.676320005,m^2,8.540226650484147,2024
1320117,Warakapola Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.23216649008098, 'latitude': 7.203751088000104, 'srid': 4326}",co2e_20yr,16106.76584,0.00017071,t of CO2e_20yr per MJ,94351710.04590002,MJ,11047916.462160004,m^2,8.540226600107102,2024
1320230,Balangoda Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.77204775851648, 'latitude': 6.621337176000053, 'srid': 4326}",co2e_20yr,16062.46135,0.000135043,t of CO2e_20yr per MJ,118943169.1,MJ,13927402.042319996,m^2,8.540226576405107,2024
1320205,Walapane Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.8766398897651, 'latitude': 7.08792996450009, 'srid': 4326}",co2e_20yr,15743.216409999999,0.000131588,t of CO2e_20yr per MJ,119640423.61340998,MJ,14009045.55,m^2,8.540226611971777,2024
1320206,Dimbulagala Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 81.10586439497379, 'latitude': 7.797777191000108, 'srid': 4326}",co2e_20yr,15574.143070000002,8.50637268340716e-05,t of CO2e_20yr per MJ,183087946.52719003,MJ,21438300.77,m^2,8.540226601162413,2024
1320083,Mathugama Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.10555497690575, 'latitude': 6.49312639250013, 'srid': 4326}",co2e_20yr,15535.96059,0.000172084,t of CO2e_20yr per MJ,90281281.06160001,MJ,10571298.098280003,m^2,8.540226585445469,2024
1320092,Harispattuwa Division,buildings,residential-onsite-fuel-usage,LKA,,gadm-aggregation,"{'longitude': 80.58232153629467, 'latitude': 7.324381113000101, 'srid': 4326}",co2e_20yr,15141.29361,9.63428116936366e-05,t of CO2e_20yr per MJ,157160595,MJ,18402391.817040004,m^2,8.540226537575649,2024
